Keyword,Title,Link,Date,RelevanceScore
hạn hán,Hạn hán ở Tây Nguyên và Nam Bộ có khả năng chấm dứt vào nửa ...,https://www.baohaugiang.com.vn/xa-hoi/han-han-o-tay-nguyen-va-nam-bo-co-kha-nang-cham-dut-vao-nua-cuoi-thang-5-132045.html,4/5/2024,0.5171
lũ lụt,Báo Hậu Giang điểm tin sáng 11-9: Lũ lụt tàn phá nặng nề miền Bắc ...,https://www.baohaugiang.com.vn/van-hoa-trong-nuoc/bao-hau-giang-diem-tin-sang-11-9-lu-lut-tan-pha-nang-ne-mien-bac-lu-quet-vui-lap-ca-mot-thon-o-lao-cai-135443.html,11/9/2024,0.5331
lũ lụt,"Nắng nóng, lũ lụt hoành hành nhiều nơi - Báo Hậu Giang",https://www.baohaugiang.com.vn/chuyen-thoi-su/nang-nong-lu-lut-hoanh-hanh-nhieu-noi-132065.html,6/5/2024,0.5141
lũ lụt,"Từ Âu đến Á bão, lũ lụt hoành hành - Báo Hậu Giang",https://old.baohaugiang.com.vn/tin-tuc/tu-au-den-a-bao-lu-lut-hoanh-hanh-135592.html,16-09-2024,0.5386
môi trường,Tầm quan trọng trong việc quan trắc môi trường,https://baohaugiang.com.vn/moi-truong/tam-quan-trong-trong-viec-quan-trac-moi-truong-138352.html,30-12-2024,0.6127
môi trường,Hành động thiết thực vì môi trường,https://www.baohaugiang.com.vn/moi-truong/hanh-dong-thiet-thuc-vi-moi-truong-131294.html,5/4/2024,0.6489
môi trường,Nhiều mô hình bảo vệ môi trường góp phần xây dựng nông thôn mới,https://baohaugiang.com.vn/moi-truong/nhieu-mo-hinh-bao-ve-moi-truong-gop-phan-xay-dung-nong-thon-moi-136617.html,21-10-2024,0.5887
môi trường,Tăng cường giữ gìn và bảo vệ môi trường,https://baohaugiang.com.vn/moi-truong/tang-cuong-giu-gin-va-bao-ve-moi-truong-137600.html,27-11-2024,0.6269
môi trường,Tuyên truyền triển khai pháp luật về môi trường gắn với Đề án Hậu ...,https://baohaugiang.com.vn/moi-truong/tuyen-truyen-trien-khai-phap-luat-ve-moi-truong-gan-voi-de-an-hau-giang-xanh-136403.html,14-10-2024,0.6475
môi trường,Tích cực thực hiện tiêu chí môi trường,http://baohaugiang.com.vn/moi-truong/tich-cuc-thuc-hien-tieu-chi-moi-truong-134420.html,29-07-2024,663
môi trường,Thành phố Vị Thanh: Phát động hưởng ứng Ngày Môi trường thế giới,http://baohaugiang.com.vn/moi-truong/thanh-pho-vi-thanh-phat-dong-huong-ung-ngay-moi-truong-the-gioi-133158.html,12/6/2024,0.6146
môi trường,Có 44 xã đạt tiêu chí số 17 về môi trường,https://baohaugiang.com.vn/nong-nghiep-nong-thon/co-44-xa-dat-tieu-chi-so-17-ve-moi-truong-137011.html,5/11/2024,0.5682
môi trường,Thi “Tuyên truyền viên giỏi bảo vệ môi trường và ứng phó với biến ...,https://baohaugiang.com.vn/hoi-lien-hiep-phu-nu-tinh-hau-giang/thi-tuyen-truyen-vien-gioi-bao-ve-moi-truong-va-ung-pho-voi-bien-doi-khi-hau-133033.html,7/6/2024,612
môi trường,Chung tay bảo vệ môi trường,https://www.baohaugiang.com.vn/mat-tran-to-quoc-viet-nam-tinh-hau-giang/chung-tay-bao-ve-moi-truong-135480.html,11/9/2024,0.6047
môi trường,Hành động vì môi trường,http://baohaugiang.com.vn/moi-truong/hanh-dong-vi-moi-truong-135688.html,19-09-2024,0.6754
môi trường,Xử lý dứt điểm ô nhiễm môi trường và thoát nước cho dân,https://baohaugiang.com.vn/hoi-dong-nhan-dan-tinh-hau-giang/xu-ly-dut-diem-o-nhiem-moi-truong-va-thoat-nuoc-cho-dan-136312.html,9/10/2024,0.6273
môi trường,Truyền thông về bảo vệ môi trường cho 100 hội viên nông dân,https://baohaugiang.com.vn/moi-truong/truyen-thong-ve-bao-ve-moi-truong-cho-100-hoi-vien-nong-dan-136840.html,29-10-2024,0.6077
môi trường,"Cao điểm vệ sinh, khử trùng, tiêu độc môi trường",https://www.baohaugiang.com.vn/moi-truong/cao-diem-ve-sinh-khu-trung-tieu-doc-moi-truong-131219.html,3/4/2024,0.6194
môi trường,Nâng cao kiến thức và kỹ năng truyền thông về môi trường,https://baohaugiang.com.vn/moi-truong/nang-cao-kien-thuc-va-ky-nang-truyen-thong-ve-moi-truong-133032.html,7/6/2024,569
môi trường,Hơn 520 câu lạc bộ cựu chiến binh bảo vệ môi trường,https://baohaugiang.com.vn/hoat-dong-doan-the/hon-520-cau-lac-bo-cuu-chien-binh-bao-ve-moi-truong-136648.html,22-10-2024,0.5766
môi trường,Gần 20 chiến sĩ tham gia bảo vệ môi trường,https://www.baohaugiang.com.vn/moi-truong/gan-20-chien-si-tham-gia-bao-ve-moi-truong-133274.html,17-06-2024,0.5886
môi trường,"Thực hiện Tháng tổng vệ sinh, khử trùng, tiêu độc môi trường",https://www.baohaugiang.com.vn/xa-hoi/thuc-hien-thang-tong-ve-sinh-khu-trung-tieu-doc-moi-truong-135852.html,25-09-2024,609
môi trường,Tích cực thực hiện các hoạt động bảo vệ môi trường,https://www.baohaugiang.com.vn/moi-truong/tich-cuc-thuc-hien-cac-hoat-dong-bao-ve-moi-truong-133645.html,28-06-2024,674
môi trường,Phụ nữ xách giỏ đi chợ để bảo vệ môi trường,https://www.baohaugiang.com.vn/hoi-lien-hiep-phu-nu-tinh-hau-giang/phu-nu-xach-gio-di-cho-de-bao-ve-moi-truong-134680.html,8/8/2024,0.5449
môi trường,Nông dân tích cực bảo vệ môi trường,https://www.baohaugiang.com.vn/moi-truong/nong-dan-tich-cuc-bao-ve-moi-truong-136293.html,9/10/2024,0.6804
môi trường,Tăng cường các hoạt động bảo vệ môi trường,https://www.baohaugiang.com.vn/moi-truong/tang-cuong-cac-hoat-dong-bao-ve-moi-truong-133208.html,13-06-2024,0.6399
môi trường,Góp ý báo cáo tổng hợp kết quả quan trắc môi trường năm 2024,https://baohaugiang.com.vn/moi-truong/gop-y-bao-cao-tong-hop-ket-qua-quan-trac-moi-truong-nam-2024-138263.html,25-12-2024,0.5654
môi trường,"Cao điểm thực hiện vệ sinh, khử trùng, tiêu độc môi trường",https://www.baohaugiang.com.vn/moi-truong/cao-diem-thuc-hien-ve-sinh-khu-trung-tieu-doc-moi-truong-130438.html,7/3/2024,0.6469
môi trường,"Triển khai các giải pháp bảo vệ môi trường, sinh thái nông thôn",http://baohaugiang.com.vn/moi-truong/trien-khai-cac-giai-phap-bao-ve-moi-truong-sinh-thai-nong-thon-135920.html,27-09-2024,0.6705
môi trường,Phát động hưởng ứng Ngày môi trường thế giới,https://www.baohaugiang.com.vn/video/phat-dong-huong-ung-ngay-moi-truong-the-gioi-1423.html,5/6/2024,0.6412
nhiệt độ toàn cầu,Lo ngại nhiệt độ toàn cầu tăng nhanh,http://baohaugiang.com.vn/chuyen-thoi-su/lo-ngai-nhiet-do-toan-cau-tang-nhanh-135764.html,23-09-2024,0.7723
nhiệt độ toàn cầu,Điểm tin sáng 13 – 5: Nhiệt độ toàn cầu vừa tăng cao chưa từng ...,http://baohaugiang.com.vn/van-hoa-trong-nuoc/diem-tin-sang-13-5-nhiet-do-toan-cau-vua-tang-cao-chua-tung-thay-lai-xuat-hien-lu-lut-nghiem-trong-132252.html,13-05-2024,0.5838
nhà kính,Thực hiện nhiệm vụ kiểm kê khí nhà kính,https://www.baohaugiang.com.vn/moi-truong/thuc-hien-nhiem-vu-kiem-ke-khi-nha-kinh-135213.html,29-08-2024,0.6264
nhà kính,Điểm tin sáng 4 – 7: Lượng khí thải nhà kính của Google tăng gần ...,https://www.baohaugiang.com.vn/van-hoa-trong-nuoc/diem-tin-sang-4-7-luong-khi-thai-nha-kinh-cua-google-tang-gan-50-vi-phat-trien-ai-133795.html,4/7/2024,0.5367
phát triển bền vững,Làm rõ nhiều vấn đề liên quan đến phát triển bền vững vùng đồng ...,http://baohaugiang.com.vn/doan-dai-bieu-quoc-hoi-tinh-hau-giang/lam-ro-nhieu-van-de-lien-quan-den-phat-trien-ben-vung-vung-dong-bang-song-cuu-long-135036.html,22-08-2024,593
phát triển bền vững,Thêm giải pháp để cây khóm phát triển bền vững,https://baohaugiang.com.vn/khoa-hoc-cong-nghe/them-giai-phap-de-cay-khom-phat-trien-ben-vung-136752.html,25-10-2024,0.6222
rừng,Hệ lụy từ các vụ cháy rừng ở Hy Lạp,https://baohaugiang.com.vn/chuyen-thoi-su/he-luy-tu-cac-vu-chay-rung-o-hy-lap-136145.html,3/10/2024,0.5211
rừng,Trồng mới rừng tập trung được trên 334ha,https://baohaugiang.com.vn/moi-truong/trong-moi-rung-tap-trung-duoc-tren-334ha-137361.html,18-11-2024,0.5333
rừng,"Cao điểm phòng cháy, chữa cháy rừng",https://www.baohaugiang.com.vn/nong-nghiep-nong-thon/cao-diem-phong-chay-chua-chay-rung-131861.html,24-04-2024,0.5494
rừng,"Tích cực phòng cháy, chữa cháy rừng",https://www.baohaugiang.com.vn/nong-nghiep-nong-thon/tich-cuc-phong-chay-chua-chay-rung-130536.html,11/3/2024,0.6106
rừng,"Điểm sáng trong phòng cháy, chữa cháy rừng",https://www.baohaugiang.com.vn/quoc-phong-an-ninh/diem-sang-trong-phong-chay-chua-chay-rung-132190.html,9/5/2024,0.5267
rừng,Hậu Giang nâng dự báo cháy rừng lên cấp nguy hiểm từ ngày 5-4,https://www.baohaugiang.com.vn/moi-truong/hau-giang-nang-du-bao-chay-rung-len-cap-nguy-hiem-tu-ngay-5-4-131280.html,5/4/2024,0.5462
rừng,Điểm tin sáng 10-11: Rừng ngập mặn Việt Nam có tiềm năng bán tín ...,https://baohaugiang.com.vn/van-hoa-trong-nuoc/diem-tin-sang-10-11-rung-ngap-man-viet-nam-co-tiem-nang-ban-tin-chi-carbon-vo-cung-lon-137159.html,10/11/2024,0.5385
sóng nhiệt,Sóng nhiệt cực đoan hoành hành vùng Nam Á,http://baohaugiang.com.vn/chuyen-thoi-su/song-nhiet-cuc-doan-hoanh-hanh-vung-nam-a-132906.html,3/6/2024,0.6494
thiên tai,"Chủ động phòng, chống thiên tai",https://www.baohaugiang.com.vn/nong-nghiep-nong-thon/chu-dong-phong-chong-thien-tai-133802.html,3/7/2024,0.6059
thiên tai,"Nâng cao kỹ năng phòng chống thiên tai, thích ứng với biến đổi khí ...",https://www.baohaugiang.com.vn/xa-hoi/nang-cao-ky-nang-phong-chong-thien-tai-thich-ung-voi-bien-doi-khi-hau-128900.html,10/1/2024,0.6527
thiên tai,"Thiên tai gây thiệt hại gần 5,4 tỉ đồng",https://baohaugiang.com.vn/xa-hoi/thien-tai-gay-thiet-hai-gan-5-4-ti-dong-138128.html,19-12-2024,0.6267
thiên tai,Chủ động ứng phó với thiên tai,https://baohaugiang.com.vn/xa-hoi/chu-dong-ung-pho-voi-thien-tai-136718.html,24-10-2024,0.6475
thiên tai,"Tích cực phòng, chống thiên tai",http://baohaugiang.com.vn/xa-hoi/tich-cuc-phong-chong-thien-tai-133600.html,27-06-2024,0.6916
thiên tai,"Đẩy mạnh ứng dụng công nghệ 4.0 trong phòng, chống thiên tai",http://baohaugiang.com.vn/kinh-te/day-manh-ung-dung-cong-nghe-4-0-trong-phong-chong-thien-tai-129824.html,12/2/2024,0.5879
thích ứng,"Chủ động chuyển đổi sản xuất để thích ứng với hạn, mặn",https://www.baohaugiang.com.vn/nong-nghiep-nong-thon/chu-dong-chuyen-doi-san-xuat-de-thich-ung-voi-han-man-132326.html,14-05-2024,0.6113
thảm họa,Papua New Guinea kêu gọi quốc tế giúp đỡ sau thảm họa lở đất,http://baohaugiang.com.vn/chuyen-thoi-su/papua-new-guinea-keu-goi-quoc-te-giup-do-sau-tham-hoa-lo-dat-132784.html,30-05-2024,0.5821
tín chỉ carbon,Nhiều lợi ích từ kinh doanh tín chỉ carbon rừng - Báo Hậu Giang,https://www.baohaugiang.com.vn/kinh-te/nhieu-loi-ich-tu-kinh-doanh-tin-chi-carbon-rung-130702.html,17-03-2024,0.5876
tín chỉ carbon,"Trồng lúa giảm phát thải, bán tín chỉ carbon",https://www.baohaugiang.com.vn/kinh-te/trong-lua-giam-phat-thai-ban-tin-chi-carbon-133175.html,12/6/2024,0.6571
tín chỉ carbon,"Trồng lúa giảm phát thải, bán tín chỉ carbon - Báo Hậu Giang",https://old.baohaugiang.com.vn/kinh-te/trong-lua-giam-phat-thai-ban-tin-chi-carbon-133175.html,12/6/2024,0.62
